July,114,77
July,115,77
July,116,77
July,117,77
July,118,78
July,119,79
July,120,79
August,121,79
August,122,79
August,123,79
August,124,76
August,125,77
August,126,77
August,127,77
August,128,77
August,129,78
August,130,78
August,131,78
August,132,78
August,133,78
August,134,78
August,135,78
August,136,78
August,137,79
August,138,79
August,139,79
August,140,79
August,141,79
August,142,80
August,143,80
August,144,80
August,145,81
August,146,81
August,147,81
August,148,81
August,149,81
August,150,82
August,151,84
September,152,58
September,153,51
September,154,51
September,155,51
September,156,51
September,157,51
September,158,51
September,159,51
September,160,52
September,161,52
September,162,52
September,163,52
September,164,52
September,165,52
September,166,53
September,167,53
September,168,53
September,169,54
September,170,54
September,171,55
September,172,56
September,173,56
September,174,57
September,175,57
September,176,57
September,177,58
September,178,59
September,179,59
September,180,59
September,181,61
October,182,62
October,183,63
October,184,63
October,185,63
October,186,64
October,187,64
October,188,65
October,189,65
October,190,65
October,191,65
October,192,65
October,193,66
October,194,67
October,195,67
October,196,68
October,197,76
October,198,76
October,199,77
October,200,77
October,201,78
October,202,78
October,203,78
October,204,78
October,205,78
October,206,78
October,207,78
October,208,78
October,209,79
October,210,79
October,211,79
October,212,80
November,213,80
November,214,81
November,215,81
November,216,82
November,217,82
November,218,82
November,219,83
November,220,84
November,221,84
November,222,84
